id;new_poste;Y1A_genre;Outil;Frequence
56;Data Analyst;Une femme;excel;Régulièrement
56;Data Analyst;Une femme;sql;Jamais
56;Data Analyst;Une femme;spark;Jamais
56;Data Analyst;Une femme;spss;Jamais
56;Data Analyst;Une femme;c_java;Jamais
56;Data Analyst;Une femme;datastudio;Jamais
56;Data Analyst;Une femme;matlab;Jamais
57;Data Engineer;NA;python;Jamais
57;Data Engineer;NA;r;Jamais
57;Data Engineer;NA;sas;Jamais
57;Data Engineer;NA;powerBI;Jamais
57;Data Engineer;NA;tableau;Jamais
57;Data Engineer;NA;qlik;Jamais
57;Data Engineer;NA;excel;Jamais
57;Data Engineer;NA;sql;Jamais
57;Data Engineer;NA;spark;Jamais
57;Data Engineer;NA;spss;Jamais
57;Data Engineer;NA;c_java;Jamais
57;Data Engineer;NA;datastudio;Jamais
57;Data Engineer;NA;matlab;Jamais
58;Data Analyst;Une femme;python;Jamais
58;Data Analyst;Une femme;r;Régulièrement
58;Data Analyst;Une femme;sas;Jamais
58;Data Analyst;Une femme;powerBI;Jamais
58;Data Analyst;Une femme;tableau;Jamais
58;Data Analyst;Une femme;qlik;Jamais
58;Data Analyst;Une femme;excel;Jamais
58;Data Analyst;Une femme;sql;Jamais
58;Data Analyst;Une femme;spark;Jamais
58;Data Analyst;Une femme;spss;Jamais
58;Data Analyst;Une femme;c_java;Jamais
58;Data Analyst;Une femme;datastudio;Jamais
58;Data Analyst;Une femme;matlab;Jamais
59;Data Engineer;Un homme;python;Régulièrement
59;Data Engineer;Un homme;r;Jamais
59;Data Engineer;Un homme;sas;Jamais
59;Data Engineer;Un homme;powerBI;Jamais
59;Data Engineer;Un homme;tableau;Jamais
59;Data Engineer;Un homme;qlik;Jamais
59;Data Engineer;Un homme;excel;Régulièrement
59;Data Engineer;Un homme;sql;Régulièrement
59;Data Engineer;Un homme;spark;Occasionnellement
59;Data Engineer;Un homme;spss;Jamais
59;Data Engineer;Un homme;c_java;Jamais
59;Data Engineer;Un homme;datastudio;Jamais
59;Data Engineer;Un homme;matlab;Jamais
60;Data Scientist;Un homme;python;Jamais
60;Data Scientist;Un homme;r;Régulièrement
60;Data Scientist;Un homme;sas;Jamais
60;Data Scientist;Un homme;powerBI;Jamais
60;Data Scientist;Un homme;tableau;Jamais
60;Data Scientist;Un homme;qlik;Jamais
60;Data Scientist;Un homme;excel;Jamais
60;Data Scientist;Un homme;sql;Jamais
60;Data Scientist;Un homme;spark;Jamais
60;Data Scientist;Un homme;spss;Jamais
60;Data Scientist;Un homme;c_java;Jamais
60;Data Scientist;Un homme;datastudio;Jamais
60;Data Scientist;Un homme;matlab;Jamais
61;Data Scientist;NA;python;Jamais
61;Data Scientist;NA;r;Jamais
61;Data Scientist;NA;sas;Jamais
61;Data Scientist;NA;powerBI;Jamais
61;Data Scientist;NA;tableau;Jamais
61;Data Scientist;NA;qlik;Jamais
61;Data Scientist;NA;excel;Jamais
61;Data Scientist;NA;sql;Jamais
61;Data Scientist;NA;spark;Jamais
61;Data Scientist;NA;spss;Jamais
61;Data Scientist;NA;c_java;Jamais
61;Data Scientist;NA;datastudio;Jamais
61;Data Scientist;NA;matlab;Jamais
62;Data Scientist;NA;python;Jamais
62;Data Scientist;NA;r;Jamais
62;Data Scientist;NA;sas;Jamais
62;Data Scientist;NA;powerBI;Jamais
62;Data Scientist;NA;tableau;Jamais
62;Data Scientist;NA;qlik;Jamais
62;Data Scientist;NA;excel;Jamais
62;Data Scientist;NA;sql;Jamais
62;Data Scientist;NA;spark;Jamais
62;Data Scientist;NA;spss;Jamais
62;Data Scientist;NA;c_java;Jamais
62;Data Scientist;NA;datastudio;Jamais
62;Data Scientist;NA;matlab;Jamais
63;Data Analyst;Un homme;python;Jamais
63;Data Analyst;Un homme;r;Jamais
63;Data Analyst;Un homme;sas;Régulièrement
63;Data Analyst;Un homme;powerBI;Régulièrement
63;Data Analyst;Un homme;tableau;Jamais
63;Data Analyst;Un homme;qlik;Occasionnellement
63;Data Analyst;Un homme;excel;Régulièrement
63;Data Analyst;Un homme;sql;Régulièrement
63;Data Analyst;Un homme;spark;Jamais
63;Data Analyst;Un homme;spss;Jamais
63;Data Analyst;Un homme;c_java;Jamais
63;Data Analyst;Un homme;datastudio;Jamais
63;Data Analyst;Un homme;matlab;Jamais
65;Data Analyst;Un homme;python;Jamais
65;Data Analyst;Un homme;r;Jamais
65;Data Analyst;Un homme;sas;Régulièrement
65;Data Analyst;Un homme;powerBI;Régulièrement
65;Data Analyst;Un homme;tableau;Jamais
65;Data Analyst;Un homme;qlik;Jamais
65;Data Analyst;Un homme;excel;Régulièrement
65;Data Analyst;Un homme;sql;Régulièrement
65;Data Analyst;Un homme;spark;Jamais
65;Data Analyst;Un homme;spss;Jamais
65;Data Analyst;Un homme;c_java;Jamais
65;Data Analyst;Un homme;datastudio;Jamais
65;Data Analyst;Un homme;matlab;Jamais
66;Data Analyst;Un homme;python;Jamais
66;Data Analyst;Un homme;r;Régulièrement
66;Data Analyst;Un homme;sas;Occasionnellement
66;Data Analyst;Un homme;powerBI;Jamais
66;Data Analyst;Un homme;tableau;Jamais
66;Data Analyst;Un homme;qlik;Jamais
66;Data Analyst;Un homme;excel;Occasionnellement
66;Data Analyst;Un homme;sql;Régulièrement
66;Data Analyst;Un homme;spark;Jamais
66;Data Analyst;Un homme;spss;Jamais
66;Data Analyst;Un homme;c_java;Jamais
66;Data Analyst;Un homme;datastudio;Jamais
66;Data Analyst;Un homme;matlab;Jamais
67;Data Analyst;Un homme;python;Jamais
67;Data Analyst;Un homme;r;Régulièrement
67;Data Analyst;Un homme;sas;Jamais
67;Data Analyst;Un homme;powerBI;Occasionnellement
67;Data Analyst;Un homme;tableau;Jamais
67;Data Analyst;Un homme;qlik;Jamais
67;Data Analyst;Un homme;excel;Régulièrement
67;Data Analyst;Un homme;sql;Jamais
67;Data Analyst;Un homme;spark;Jamais
67;Data Analyst;Un homme;spss;Occasionnellement
67;Data Analyst;Un homme;c_java;Jamais
67;Data Analyst;Un homme;datastudio;Jamais
67;Data Analyst;Un homme;matlab;Jamais
69;Data Analyst;Un homme;python;Jamais
69;Data Analyst;Un homme;r;Régulièrement
69;Data Analyst;Un homme;sas;Régulièrement
69;Data Analyst;Un homme;powerBI;Occasionnellement
69;Data Analyst;Un homme;tableau;Jamais
69;Data Analyst;Un homme;qlik;Jamais
69;Data Analyst;Un homme;excel;Occasionnellement
69;Data Analyst;Un homme;sql;Régulièrement
69;Data Analyst;Un homme;spark;Jamais
69;Data Analyst;Un homme;spss;Jamais
69;Data Analyst;Un homme;c_java;Jamais
69;Data Analyst;Un homme;datastudio;Jamais
69;Data Analyst;Un homme;matlab;Jamais
70;Data Analyst;Un homme;python;Jamais
70;Data Analyst;Un homme;r;Régulièrement
70;Data Analyst;Un homme;sas;Jamais
70;Data Analyst;Un homme;powerBI;Jamais
70;Data Analyst;Un homme;tableau;Jamais
70;Data Analyst;Un homme;qlik;Jamais
70;Data Analyst;Un homme;excel;Régulièrement
70;Data Analyst;Un homme;sql;Jamais
70;Data Analyst;Un homme;spark;Jamais
70;Data Analyst;Un homme;spss;Jamais
70;Data Analyst;Un homme;c_java;Jamais
70;Data Analyst;Un homme;datastudio;Jamais
70;Data Analyst;Un homme;matlab;Jamais
73;Data Analyst;NA;python;Jamais
73;Data Analyst;NA;r;Jamais
73;Data Analyst;NA;sas;Jamais
73;Data Analyst;NA;powerBI;Jamais
73;Data Analyst;NA;tableau;Jamais
73;Data Analyst;NA;qlik;Jamais
73;Data Analyst;NA;excel;Jamais
73;Data Analyst;NA;sql;Jamais
73;Data Analyst;NA;spark;Jamais
73;Data Analyst;NA;spss;Jamais
73;Data Analyst;NA;c_java;Jamais
73;Data Analyst;NA;datastudio;Jamais
73;Data Analyst;NA;matlab;Jamais
74;Data Analyst;Un homme;python;Jamais
74;Data Analyst;Un homme;r;Régulièrement
74;Data Analyst;Un homme;sas;Régulièrement
74;Data Analyst;Un homme;powerBI;Jamais
74;Data Analyst;Un homme;tableau;Jamais
74;Data Analyst;Un homme;qlik;Jamais
74;Data Analyst;Un homme;excel;Occasionnellement
74;Data Analyst;Un homme;sql;Régulièrement
74;Data Analyst;Un homme;spark;Jamais
74;Data Analyst;Un homme;spss;Jamais
74;Data Analyst;Un homme;c_java;Jamais
74;Data Analyst;Un homme;datastudio;Jamais
74;Data Analyst;Un homme;matlab;Jamais
75;Data Engineer;Un homme;python;Occasionnellement
75;Data Engineer;Un homme;r;Jamais
75;Data Engineer;Un homme;sas;Régulièrement
75;Data Engineer;Un homme;powerBI;Jamais
75;Data Engineer;Un homme;tableau;Jamais
75;Data Engineer;Un homme;qlik;Jamais
75;Data Engineer;Un homme;excel;Jamais
75;Data Engineer;Un homme;sql;Régulièrement
75;Data Engineer;Un homme;spark;Jamais
75;Data Engineer;Un homme;spss;Jamais
75;Data Engineer;Un homme;c_java;Jamais
75;Data Engineer;Un homme;datastudio;Jamais
75;Data Engineer;Un homme;matlab;Jamais
76;Data Analyst;Une femme;python;Jamais
76;Data Analyst;Une femme;r;Jamais
76;Data Analyst;Une femme;sas;Jamais
76;Data Analyst;Une femme;powerBI;Régulièrement
76;Data Analyst;Une femme;tableau;Jamais
76;Data Analyst;Une femme;qlik;Jamais
76;Data Analyst;Une femme;excel;Régulièrement
76;Data Analyst;Une femme;sql;Occasionnellement
76;Data Analyst;Une femme;spark;Jamais
76;Data Analyst;Une femme;spss;Jamais
76;Data Analyst;Une femme;c_java;Jamais
76;Data Analyst;Une femme;datastudio;Jamais
76;Data Analyst;Une femme;matlab;Jamais
77;Data Analyst;Un homme;python;Occasionnellement
77;Data Analyst;Un homme;r;Régulièrement
77;Data Analyst;Un homme;sas;Régulièrement
77;Data Analyst;Un homme;powerBI;Occasionnellement
77;Data Analyst;Un homme;tableau;Jamais
77;Data Analyst;Un homme;qlik;Jamais
77;Data Analyst;Un homme;excel;Régulièrement
77;Data Analyst;Un homme;sql;Régulièrement
77;Data Analyst;Un homme;spark;Jamais
77;Data Analyst;Un homme;spss;Jamais
77;Data Analyst;Un homme;c_java;Jamais
77;Data Analyst;Un homme;datastudio;Jamais
77;Data Analyst;Un homme;matlab;Jamais
79;Data Scientist;Une femme;python;Jamais
79;Data Scientist;Une femme;r;Régulièrement
79;Data Scientist;Une femme;sas;Jamais
79;Data Scientist;Une femme;powerBI;Jamais
79;Data Scientist;Une femme;tableau;Jamais
79;Data Scientist;Une femme;qlik;Jamais
79;Data Scientist;Une femme;excel;Occasionnellement
79;Data Scientist;Une femme;sql;Jamais
79;Data Scientist;Une femme;spark;Jamais
79;Data Scientist;Une femme;spss;Jamais
79;Data Scientist;Une femme;c_java;Jamais
