id;new_poste;Y1A_genre;A4_secteur;A5_teleravail;A6_experience
319;Data Scientist;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;8
320;Data Engineer;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
322;Data Engineer;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
323;Data Engineer;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
325;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;8
326;Data Scientist;Une femme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
327;Data Engineer;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
328;Data Analyst;NA;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;0
330;Data Scientist;NA;Autre;Mon activité est trop spécifique pour distinguer télétravail et présentiel;1
331;Data Scientist;Une femme;Santé;Distanciel complet (pas de travail sur site);5
332;Data Analyst;Un homme;Industrie;Présentiel complet (pas ou quasiment pas de travail à distance);3
333;Data Scientist;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;5
335;Data Scientist;Un homme;Autre;Distanciel complet (pas de travail sur site);6
339;Data Analyst;Un homme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);2
340;Data Engineer;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
341;Data Analyst;NA;Prestation de services informatiques / statistiques;Présentiel complet (pas ou quasiment pas de travail à distance);3
342;Data Scientist;NA;Transport;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
345;Data Scientist;NA;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
346;Data Analyst;NA;Transport;Présentiel complet (pas ou quasiment pas de travail à distance);1
347;Data Analyst;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
348;Data Analyst;NA;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
349;Data Analyst;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
350;Data Analyst;Un homme;Enseignement / recherche;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
351;Data Analyst;Un homme;Enseignement / recherche;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;5
353;Data Engineer;Un homme;Autre;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;0
354;Data Analyst;NA;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;7
356;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
362;Data Analyst;Une femme;Autre;Distanciel complet (pas de travail sur site);8
364;Data Scientist;Un homme;Transport;Hybride avec en moyenne un ou deux jours de télétravail / semaine;10
365;Data Scientist;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;15
367;Data Analyst;Un homme;Numérique / Web;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
369;Data Scientist;Un homme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;12
370;Data Engineer;Une femme;Santé;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
371;Data Engineer;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
